id,stage,datetime,tags,type,description,answers
166,substitutions,1464859474733,91_29,multiple,"Кондуктор, проворчав что-то, посоветовал ей отправиться в *пункт* для приёма беженцев.",пост|точка|станция|финиш|остановка|месторасположение|местоположение|координаты|позиция
167,substitutions,1464859474733,92_30,multiple,"Способ заключается в организации встречного движения информации к пользователям, рабочие *станции* которых располагают копией системы управления базой данных.",стоянка|база|перегон|место|пункт|местечко|вокзал
168,substitutions,1464859474733,92_30,multiple,"Способ заключается в организации встречного движения информации к пользователям, рабочие *станции* которых располагают копией системы управления базой данных.",пост|точка|остановка
169,substitutions,1464859474733,93_30,multiple,"Углубленный в размышление о превратности земного счастия, я и не приметил, как лошади домчали меня до первой *станции*.",стоянка|база|перегон|место|пункт|местечко|вокзал
170,substitutions,1464859474733,93_30,multiple,"Углубленный в размышление о превратности земного счастия, я и не приметил, как лошади домчали меня до первой *станции*.",пост|точка|остановка
171,substitutions,1464859474733,94_30,multiple,"Даже многие сервисные *станции*, где обслуживают отечественные машины, часто рекомендуют «расходники» зарубежного производства.",стоянка|база|перегон|место|пункт|местечко|вокзал
172,substitutions,1464859474733,94_30,multiple,"Даже многие сервисные *станции*, где обслуживают отечественные машины, часто рекомендуют «расходники» зарубежного производства.",пост|точка|остановка
173,substitutions,1464859474733,95_30,multiple,"Чему равен КПД гидростанции, если подача воды равна 6 м 3/ с, высота плотины 20 м, а мощность *станции* 880 кВт?",стоянка|база|перегон|место|пункт|местечко|вокзал
174,substitutions,1464859474733,95_30,multiple,"Чему равен КПД гидростанции, если подача воды равна 6 м 3/ с, высота плотины 20 м, а мощность *станции* 880 кВт?",пост|точка|остановка
175,substitutions,1464859474733,96_30,multiple,Для снабжения комплекса кислородом устанавливается кислородный блок производительностью до 5000 м 3/ час. Побочные продукты разделения воздуха кислородной *станцией* ― азот и аргон ― также представляют собой товар.,стоянка|база|перегон|место|пункт|местечко|вокзал
176,substitutions,1464859474733,96_30,multiple,Для снабжения комплекса кислородом устанавливается кислородный блок производительностью до 5000 м 3/ час. Побочные продукты разделения воздуха кислородной *станцией* ― азот и аргон ― также представляют собой товар.,пост|точка|остановка
177,substitutions,1464859474733,97_30,multiple,"Основное влияние на содержание фосфатов оказывают Люберецкая *станция* аэрации, г. Раменское, г. Жуковский.",стоянка|база|перегон|место|пункт|местечко|вокзал
178,substitutions,1464859474733,97_30,multiple,"Основное влияние на содержание фосфатов оказывают Люберецкая *станция* аэрации, г. Раменское, г. Жуковский.",пост|точка|остановка
179,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",город|место|государство|среда|регион|околица|рука
180,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",поле|село|манеж|местечко|ведомство|деревня|хутор
181,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",царство|сибирщина|урочище|округ|сфера|поселение|район
182,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",территория|поселок|аул|владение|трек|столица|уезд
183,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",площадь|край|помещение|поместье|полоса|циклодром|бок
184,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",пост|ипподром|местность|область|станция|земля|поляна
185,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",ристалище|станица|простор|весь|перспектива|поприще|округа
186,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",промежуток|околоток|окрестность|крепость|страна|уголок|круг
187,substitutions,1464859474733,98_33,multiple,"Посыльный со *стороны* жениха отправлялся в дом родителей невесты с вестью, что сегодня вечером к ним пожалуют сваты.",грань|пространство|губерния|колония|фланг|позиция|арена|окраина
188,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",город|место|государство|среда|регион|околица|рука
189,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",поле|село|манеж|местечко|ведомство|деревня|хутор
190,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",царство|сибирщина|урочище|округ|сфера|поселение|район
191,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",территория|поселок|аул|владение|трек|столица|уезд
192,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",площадь|край|помещение|поместье|полоса|циклодром|бок
193,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",пост|ипподром|местность|область|станция|земля|поляна
194,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",ристалище|станица|простор|весь|перспектива|поприще|округа
195,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",промежуток|околоток|окрестность|крепость|страна|уголок|круг
196,substitutions,1464859474733,99_33,multiple,"— Послушай, мужичок, — сказал я ему, — знаешь ли ты эту *сторону*? Возьмёшься ли ты довести меня до ночлега?",грань|пространство|губерния|колония|фланг|позиция|арена|окраина
197,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",город|место|государство|среда|регион|околица|рука
198,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",поле|село|манеж|местечко|ведомство|деревня|хутор
199,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",царство|сибирщина|урочище|округ|сфера|поселение|район
200,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",территория|поселок|аул|владение|трек|столица|уезд
201,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",площадь|край|помещение|поместье|полоса|циклодром|бок
202,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",пост|ипподром|местность|область|станция|земля|поляна
203,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",ристалище|станица|простор|весь|перспектива|поприще|округа
204,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",промежуток|околоток|окрестность|крепость|страна|уголок|круг
205,substitutions,1464859474733,100_33,multiple,"Они ходили по одной *стороне* галереи, стараясь избегать Левина, ходившего по другой *стороне*.",грань|пространство|губерния|колония|фланг|позиция|арена|окраина
